1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2022-06-13,2022-S24,01,Guadeloupe,15-64 ans,1419.5583596,990.0990099,
2022-06-13,2022-S24,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2022-06-20,2022-S25,01,Guadeloupe,15-64 ans,819.67213115,0.0,
2022-06-27,2022-S26,01,Guadeloupe,15-64 ans,2090.5923345,2380.952381,
2022-06-27,2022-S26,01,Guadeloupe,Tous âges,4242.0027816,4743.083004,
2022-07-04,2022-S27,01,Guadeloupe,65 ans ou plus,343.64261168,0.0,
2022-07-11,2022-S28,01,Guadeloupe,00-14 ans,3518.5185185,4081.6326531,
2022-07-11,2022-S28,01,Guadeloupe,15-64 ans,2086.6773676,1010.1010101,
2022-07-11,2022-S28,01,Guadeloupe,65 ans ou plus,332.22591362,0.0,
2022-07-18,2022-S29,01,Guadeloupe,15-64 ans,1880.8777429,1098.9010989,
2022-07-25,2022-S30,01,Guadeloupe,15-64 ans,944.88188976,0.0,
2022-08-01,2022-S31,01,Guadeloupe,00-14 ans,3174.6031746,0.0,
2022-08-01,2022-S31,01,Guadeloupe,15-64 ans,1140.0651466,0.0,
2022-08-01,2022-S31,01,Guadeloupe,Tous âges,1595.7446809,0.0,
2022-08-08,2022-S32,01,Guadeloupe,15-64 ans,1438.8489209,0.0,
2022-08-08,2022-S32,01,Guadeloupe,65 ans ou plus,353.35689046,0.0,
2022-08-08,2022-S32,01,Guadeloupe,Tous âges,1795.9770115,854.7008547,
2022-08-15,2022-S33,01,Guadeloupe,00-14 ans,4418.6046512,7692.3076923,
2022-08-15,2022-S33,01,Guadeloupe,15-64 ans,1433.1210191,2173.9130435,
2022-08-22,2022-S34,01,Guadeloupe,00-14 ans,3763.4408602,8333.3333333,
2022-08-22,2022-S34,01,Guadeloupe,Tous âges,2122.9868228,1158.3011583,
2022-08-29,2022-S35,01,Guadeloupe,00-14 ans,4935.0649351,3333.3333333,
2022-08-29,2022-S35,01,Guadeloupe,65 ans ou plus,353.35689046,980.39215686,
2022-09-05,2022-S36,01,Guadeloupe,00-14 ans,11751.662971,32352.941176,
2022-09-05,2022-S36,01,Guadeloupe,65 ans ou plus,346.02076125,0.0,
